org:resource,Activity,time:timestamp,org:role,case:Project,case:Task,CaseID,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,0.0,EMPLOYEE,project 148216,UNKNOWN,request for payment 148214,organizational unit 65463,0,3.5362043515741544,UNKNOWN,request for payment number 148215
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,3.7376696182833684,SUPERVISOR,project 148216,UNKNOWN,request for payment 148214,organizational unit 65463,0,3.5362043515741544,UNKNOWN,request for payment number 148215
STAFF MEMBER,Request For Payment REJECTED by MISSING,11.499982059334299,MISSING,project 148216,UNKNOWN,request for payment 148214,organizational unit 65463,0,3.5362043515741544,UNKNOWN,request for payment number 148215
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,15.337479170396186,EMPLOYEE,project 148216,UNKNOWN,request for payment 148214,organizational unit 65463,0,3.5362043515741544,UNKNOWN,request for payment number 148215
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,15.337485500546945,PRE_APPROVER,project 148216,UNKNOWN,request for payment 148214,organizational unit 65463,0,3.5362043515741544,UNKNOWN,request for payment number 148215
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,15.391828406385097,SUPERVISOR,project 148216,UNKNOWN,request for payment 148214,organizational unit 65463,0,3.5362043515741544,UNKNOWN,request for payment number 148215
SYSTEM,Request Payment,15.428686276090938,UNDEFINED,project 148216,UNKNOWN,request for payment 148214,organizational unit 65463,0,3.5362043515741544,UNKNOWN,request for payment number 148215
SYSTEM,Payment Handled,15.56158099952461,UNDEFINED,project 148216,UNKNOWN,request for payment 148214,organizational unit 65463,0,3.5362043515741544,UNKNOWN,request for payment number 148215
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,8.391629968440892,EMPLOYEE,project 147843,UNKNOWN,request for payment 149290,organizational unit 65458,0,2.7201386958085383,UNKNOWN,request for payment number 149291
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,8.403800504061147,SUPERVISOR,project 147843,UNKNOWN,request for payment 149290,organizational unit 65458,0,2.7201386958085383,UNKNOWN,request for payment number 149291
SYSTEM,Request Payment,11.430467342529706,UNDEFINED,project 147843,UNKNOWN,request for payment 149290,organizational unit 65458,0,2.7201386958085383,UNKNOWN,request for payment number 149291
SYSTEM,Payment Handled,12.573676649131531,UNDEFINED,project 147843,UNKNOWN,request for payment 149290,organizational unit 65458,0,2.7201386958085383,UNKNOWN,request for payment number 149291
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,9.066239028001926,EMPLOYEE,project 147556,task 147557,request for payment 149216,organizational unit 65463,0,3.5337521414903543,activity 505,request for payment number 149217
STAFF MEMBER,Request For Payment REJECTED by SUPERVISOR,9.07015834137632,SUPERVISOR,project 147556,task 147557,request for payment 149216,organizational unit 65463,0,3.5337521414903543,activity 505,request for payment number 149217
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,10.084725188767045,EMPLOYEE,project 147556,task 147557,request for payment 149216,organizational unit 65463,0,3.5337521414903543,activity 505,request for payment number 149217
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,11.397896134385462,EMPLOYEE,project 147556,task 147557,request for payment 149216,organizational unit 65463,0,3.5337521414903543,activity 505,request for payment number 149217
