org:resource,lifecycle:transition,Activity,time:timestamp,case:REG_DATE,CaseID,case:AMOUNT_REQ
112,COMPLETE,A_SUBMITTED,2011/09/30 22:38:44,2011/10/01 00:38:44,173688,20000
112,COMPLETE,A_PARTLYSUBMITTED,2011/09/30 22:38:44,2011/10/01 00:38:44,173688,20000
112,COMPLETE,A_PREACCEPTED,2011/09/30 22:39:37,2011/10/01 00:38:44,173688,20000
10862,COMPLETE,A_ACCEPTED,2011/10/01 09:42:43,2011/10/01 00:38:44,173688,20000
10862,COMPLETE,A_FINALIZED,2011/10/01 09:45:09,2011/10/01 00:38:44,173688,20000
10629,COMPLETE,A_REGISTERED,2011/10/13 08:37:29,2011/10/01 00:38:44,173688,20000
10629,COMPLETE,A_APPROVED,2011/10/13 08:37:29,2011/10/01 00:38:44,173688,20000
10629,COMPLETE,A_ACTIVATED,2011/10/13 08:37:29,2011/10/01 00:38:44,173688,20000
112,COMPLETE,A_SUBMITTED,2011/10/01 06:08:58,2011/10/01 08:08:58,173691,5000
112,COMPLETE,A_PARTLYSUBMITTED,2011/10/01 06:09:02,2011/10/01 08:08:58,173691,5000
112,COMPLETE,A_PREACCEPTED,2011/10/01 06:09:56,2011/10/01 08:08:58,173691,5000
10862,COMPLETE,A_ACCEPTED,2011/10/01 12:33:54,2011/10/01 08:08:58,173691,5000
10862,COMPLETE,A_FINALIZED,2011/10/01 12:35:46,2011/10/01 08:08:58,173691,5000
10809,COMPLETE,A_APPROVED,2011/10/10 12:17:26,2011/10/01 08:08:58,173691,5000
10809,COMPLETE,A_REGISTERED,2011/10/10 12:17:26,2011/10/01 08:08:58,173691,5000
10809,COMPLETE,A_ACTIVATED,2011/10/10 12:17:26,2011/10/01 08:08:58,173691,5000
112,COMPLETE,A_SUBMITTED,2011/10/01 06:10:30,2011/10/01 08:10:30,173694,7000
112,COMPLETE,A_PARTLYSUBMITTED,2011/10/01 06:10:30,2011/10/01 08:10:30,173694,7000
112,COMPLETE,A_PREACCEPTED,2011/10/01 06:11:13,2011/10/01 08:10:30,173694,7000
