org:group,resource country,org:resource,oranization country,org:role,Activity,impact,product,time:timestamp,CaseID
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD753,0.0,1-147898401
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD753,9.31542084842669,1-147898401
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,Medium,PROD753,18.388882867654374,1-147898401
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD753,18.840288787591525,1-147898401
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD753,16.256809130845248,1-165554831
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,Medium,PROD753,18.388882857331286,1-165554831
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD753,18.840289471187873,1-165554831
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Low,PROD753,16.582890613621668,1-172473423
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,Low,PROD753,18.388882877977462,1-172473423
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Low,PROD753,18.84028951062611,1-172473423
Org line A2,Sweden,Niklas,se,A2_2,Accepted_In Progress,Medium,PROD681,16.927959921478564,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Accepted_Wait,Medium,PROD681,18.388882867654374,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Queued_Awaiting Assignment,Medium,PROD681,18.60164759187582,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Accepted_In Progress,Medium,PROD681,18.84147717114296,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Accepted_Assigned,Medium,PROD681,18.880592300362512,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Accepted_In Progress,Medium,PROD681,18.907397668467404,1-182640781
Org line A2,Sweden,Niklas,se,A2_2,Completed_Closed,Medium,PROD681,18.907398147887267,1-182640781
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,High,PROD753,17.671798735772597,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,High,PROD753,17.91673541325944,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,High,PROD753,18.38888288830055,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,High,PROD753,18.839562340460226,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,High,PROD753,18.83956237334933,1-230541365
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD681,17.721187509721464,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,Medium,PROD681,18.38888288830055,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Queued_Awaiting Assignment,Medium,PROD681,18.601644454289932,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD681,18.840309702798937,1-236817141
Org line A2,Sweden,Niklas,cn,A2_2,Accepted_Assigned,Medium,PROD681,18.880591934185546,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD681,18.908517304563322,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Completed_Closed,Medium,PROD681,18.908517562423636,1-236817141
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Low,PROD753,17.969387820583343,1-270427461
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,Low,PROD753,18.38888289862364,1-270427461
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Low,PROD753,18.88058738852929,1-270427461
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD753,18.4263810463144,1-345132462
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,Medium,PROD753,18.43749236342528,1-345132462
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Assigned,Medium,PROD753,18.443408197613874,1-345132462
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,Medium,PROD753,18.4592661784358,1-345132462
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD753,18.839558374026453,1-345132462
Org line A2,POLAND,Ewa,us,A2_2,Accepted_In Progress,Medium,PROD98,18.443381481392997,1-351314317
Org line A2,POLAND,Ewa,us,A2_2,Queued_Awaiting Assignment,Medium,PROD98,18.443387796378264,1-351314317
Org line A2,POLAND,Ewa,us,A2_2,Accepted_In Progress,Medium,PROD98,18.443420377549412,1-351314317
Org line A2,POLAND,Ewa,us,A2_2,Accepted_Assigned,Medium,PROD98,18.443420445975594,1-351314317
Org line A2,POLAND,Ewa,us,A2_2,Accepted_In Progress,Medium,PROD98,18.90017843041983,1-351314317
Org line A2,POLAND,Ewa,us,A2_2,Completed_Closed,Medium,PROD98,18.90743544973584,1-351314317
Org line G3,POLAND,Ewa,us,NAN,Accepted_In Progress,Medium,PROD98,18.904285895431162,1-354039443
Org line G3,POLAND,Ewa,us,NAN,Completed_Closed,Medium,PROD98,18.921655739194744,1-354039443
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,Medium,PROD753,18.454353257734205,1-354350908
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD753,18.839557874109968,1-354350908
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Wait,Medium,PROD753,18.45435379919139,1-354376900
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Medium,PROD753,18.83955776886436,1-354376900
Org line G3,POLAND,Ewa,us,NAN,Accepted_In Progress,Medium,PROD98,18.904306426555188,1-357087417
Org line G3,POLAND,Ewa,us,NAN,Completed_Closed,Medium,PROD98,18.921655920976605,1-357087417
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,High,PROD753,18.47348909106771,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,High,PROD753,18.473491139959073,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Queued_Awaiting Assignment,High,PROD753,18.473492363600528,1-359841262
Org line A2,POLAND,Pawel,cn,A2_2,Accepted_In Progress,High,PROD753,18.473492515369905,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Queued_Awaiting Assignment,High,PROD753,18.47349261971134,1-359841262
Org line A2,POLAND,Pawel,cn,A2_2,Accepted_In Progress,High,PROD753,18.47349277148068,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_Assigned,High,PROD753,18.575294305204913,1-359841262
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,High,PROD753,18.841478937190253,1-359841262
Org line A2,Sweden,Tomas,se,A2_2,Queued_Awaiting Assignment,Medium,PROD681,18.60164354472197,1-360072755
Org line A2,Sweden,Tomas,se,A2_2,Accepted_In Progress,Medium,PROD681,18.840304503616327,1-360072755
Org line A2,Sweden,Niklas,se,A2_2,Accepted_Assigned,Medium,PROD681,18.880592161467817,1-360072755
Org line A2,Sweden,Niklas,se,A2_2,Accepted_Wait,Medium,PROD681,18.912118927979893,1-360072755
Org line A2,Sweden,Panigrahy,in,D_1,Accepted_In Progress,Medium,PROD611,18.476781075998925,1-360464815
Org line A2,Sweden,Panigrahy,in,D_1,Accepted_Wait,Medium,PROD611,18.50181758207759,1-360464815
Org line A2,Sweden,Panigrahy,in,D_1,Accepted_In Progress,Medium,PROD611,18.790326593794912,1-360464815
Org line A2,Sweden,Panigrahy,in,D_1,Completed_Closed,Medium,PROD611,18.933160790406106,1-360464815
Org line A2,POLAND,Pawel,cn,A2_2,Accepted_In Progress,Low,PROD753,18.485705693639385,1-363206822
Org line A2,POLAND,Pawel,cn,A2_2,Accepted_In Progress,Low,PROD753,18.48570694927767,1-363206822
Org line A2,Sweden,Tomas,cn,A2_2,Queued_Awaiting Assignment,Low,PROD753,18.48570707109324,1-363206822
Org line A2,Sweden,Tomas,cn,A2_2,Accepted_In Progress,Low,PROD753,18.84147898971206,1-363206822
Org line G3,POLAND,Ewa,us,NAN,Accepted_In Progress,Medium,PROD98,18.91582900556336,1-363549934
Org line G3,POLAND,Ewa,us,NAN,Completed_Closed,Medium,PROD98,18.915829352967204,1-363549934
Org line G3,POLAND,Ewa,us,NAN,Accepted_In Progress,Medium,PROD98,18.91583063287507,1-364528467
Org line G3,POLAND,Ewa,us,NAN,Completed_Closed,Medium,PROD98,18.91583067553864,1-364528467
Org line G3,POLAND,Ewa,us,NAN,Accepted_In Progress,Medium,PROD98,18.910577149617,1-366584206
Org line G3,POLAND,Ewa,us,NAN,Completed_Closed,Medium,PROD98,18.910577161870798,1-366584206
Org line G4,Sweden,Jerker,se,NAN,Accepted_In Progress,High,PROD368,18.50015890152825,1-366698569
Org line G4,Sweden,Jerker,se,NAN,Accepted_In Progress,High,PROD368,18.50501365705809,1-366698569
Org line G4,Sweden,Jerker,se,NAN,Accepted_In Progress,Medium,PROD368,18.50016617945553,1-366726662
Org line G4,Sweden,Jerker,se,NAN,Accepted_In Progress,Medium,PROD368,18.505014190150572,1-366726662
Org line G3,POLAND,Ewa,us,NAN,Accepted_In Progress,Medium,PROD98,18.908048306256045,1-366923538
Org line G3,POLAND,Ewa,us,NAN,Completed_Closed,Medium,PROD98,18.921690683119973,1-366923538
Org line B,INDIA,Srinivasan,in,E_10,Queued_Awaiting Assignment,Medium,PROD262,18.83493379803512,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Accepted_In Progress,Medium,PROD262,18.837391989857814,1-367921041
Org line B,INDIA,Rijin,in,E_10,Accepted_Assigned,Medium,PROD262,18.83739232605549,1-367921041
Org line B,INDIA,Rijin,in,E_10,Accepted_In Progress,Medium,PROD262,18.837626964464924,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Accepted_Assigned,Medium,PROD262,18.87894971563043,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Accepted_Wait,Medium,PROD262,18.884228736593883,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Accepted_In Progress,Medium,PROD262,18.93735600319123,1-367921041
Org line B,INDIA,Aneesh V,in,E_10,Completed_Closed,Medium,PROD262,18.937356504251493,1-367921041
Org line C,France,Celine,fr,V3_3,Accepted_In Progress,Major,PROD793,18.512674193118013,1-370436092
Org line C,France,Celine,fr,V3_3,Queued_Awaiting Assignment,Major,PROD793,18.51267452147796,1-370436092
