,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,Resource_to_role_acc,case:Activity_acc,case:OrganizationalEntity_acc,case:Project_acc,case:RequestedAmount_mae,case:RfpNumber_acc,case:Task_acc,org:resource:role_acc,org:resource_acc,org:role_acc,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
6,6,6_0,COMPLETED,BoTorch,8.411703210662862,0.9585813879966736,0.7176077365875244,0.9955775141716003,1.0,1.0,0.9982140064239502,0.15539353178895038,0.0017009696457535028,0.9137608408927917,0.9944718480110168,0.9955775141716003,0.9830753803253174,0.20691840042886528,0.010365872863844966,128,2,128,2,max
14,14,14_0,COMPLETED,BoTorch,8.427796254589759,0.8555026650428772,0.5827760696411133,0.9952372908592224,0.9999149441719055,0.9999149441719055,0.9992345571517944,0.08453037055290263,0.03418948873877525,0.9318761825561523,0.9941316843032837,0.9952372908592224,0.9864773154258728,0.10411037528968375,0.01651742248080167,128,2,128,2,max
1,1,1_0,COMPLETED,Sobol,8.64011142912932,0.8850144743919373,0.6638071537017822,0.9964280128479004,1.0,1.0,0.9995747804641724,0.08165302589211774,0.03444463387131691,0.9607926607131958,0.9963429570198059,0.9964280128479004,0.9854567050933838,0.3946329429745674,0.020423111474986877,128,2,128,2,max
11,11,11_0,COMPLETED,BoTorch,8.784180137245116,0.9682769179344177,0.7448169589042664,0.9963429570198059,1.0,0.9997448921203613,0.9994897246360779,0.04728852892699449,0.03427453711628914,0.862476646900177,0.9965980648994446,0.9963429570198059,0.9337472319602966,0.20437769470331463,0.010665841703143691,128,2,128,2,max
18,18,18_0,COMPLETED,BoTorch,9.001939650491078,0.9677666425704956,0.7369270324707031,0.9978737831115723,1.0,1.0,0.9994897246360779,0.03246916522798331,0.0,0.9849464297294617,0.9977887868881226,0.9978737831115723,0.9959176778793335,0.08790843941919181,0.013847456004837408,128,2,128,2,max
12,12,12_0,COMPLETED,BoTorch,9.121830101294297,0.949821412563324,0.7520270943641663,0.9963429570198059,1.0,1.0,0.9995747804641724,0.11437496964050375,0.0010205816943198442,0.8765946626663208,0.9965130090713501,0.9963429570198059,0.9541589021682739,0.11138924818647944,0.011879147950829942,128,2,128,2,max
9,9,9_0,COMPLETED,BoTorch,9.123206362355127,0.8713216781616211,0.606028139591217,0.9942167401313782,1.0,0.9987242817878723,0.9937064051628113,0.35166039220664813,0.033764246851205826,0.8941997289657593,0.9955775141716003,0.9942167401313782,0.9834155440330505,0.13600555953124296,0.01510108125427318,256,2,128,2,max
7,7,7_0,COMPLETED,BoTorch,9.188935828708914,0.9305154085159302,0.6650550365447998,0.9944718480110168,1.0,1.0,0.9881782531738281,0.06177855858012386,0.0008504848228767514,0.9375744462013245,0.9931110739707947,0.9944718480110168,0.9887736439704895,0.44365171375481977,0.015190563851971997,128,1,128,2,max
10,10,10_0,COMPLETED,BoTorch,9.568844641717774,0.8825480937957764,0.5745143294334412,0.9951522350311279,0.9992345571517944,0.9989794492721558,0.9982990622520447,0.338536578675975,0.0286613367497921,0.9089981317520142,0.9955775141716003,0.9951522350311279,0.9609627723693848,0.32254979775651643,0.1,128,2,128,2,max
16,16,16_0,COMPLETED,BoTorch,9.893247795852512,0.9206497669219971,0.652874231338501,0.9959176778793335,1.0,1.0,0.9976186752319336,0.15443691368336263,0.00025514542357996106,0.8238646388053894,0.9948120713233948,0.9959176778793335,0.9714237451553345,0.11562723706921806,0.010825644310487917,128,1,128,2,max
19,19,19_0,COMPLETED,BoTorch,9.906627260067777,0.9276237487792969,0.6897484064102173,0.9943017959594727,0.9996598362922668,0.9999149441719055,0.9964280128479004,0.5164168512691623,0.0007654363289475441,0.8287124037742615,0.9929410219192505,0.9943017959594727,0.9815444946289062,0.32689199726218765,0.02363114423022747,512,2,128,2,max
13,13,13_0,COMPLETED,BoTorch,9.982303424532743,0.9394454956054688,0.7282434105873108,0.9907297492027283,0.9998299479484558,0.9999149441719055,0.9992345571517944,0.4409132262934809,0.00025514542357996106,0.9359585046768188,0.9914951920509338,0.9907297492027283,0.9782276153564453,0.136087111480858,0.04058348903680105,256,1,128,2,max
5,5,5_0,COMPLETED,Sobol,10.120614193113738,0.9636843204498291,0.7918025851249695,0.9939615726470947,1.0,0.9994897246360779,0.987838089466095,0.018713925742422758,0.0327436663210392,0.7982650399208069,0.9936214089393616,0.9939615726470947,0.9284742474555969,0.03262744906722852,0.0039125900358181875,128,1,128,2,max
8,8,8_0,COMPLETED,BoTorch,10.358969606172797,0.8193570375442505,0.5859900712966919,0.9944718480110168,0.9994897246360779,0.9984691739082336,0.9862221479415894,0.31046537083128223,0.030022112652659416,0.8362817168235779,0.9948971271514893,0.9944718480110168,0.9633440971374512,0.524163687520701,0.1,512,2,128,2,max
17,17,17_0,COMPLETED,BoTorch,10.40872974970483,0.8003912568092346,0.549325168132782,0.9869875907897949,0.9994046688079834,0.9993196129798889,0.9976186752319336,0.1734518565075553,0.0003401939175091684,0.8594999313354492,0.986817479133606,0.9869875907897949,0.9352781176567078,0.3501585236062174,0.1,128,1,128,2,max
15,15,15_0,COMPLETED,BoTorch,10.499459319405382,0.8368770480155945,0.5280361175537109,0.9908148050308228,0.9999149441719055,0.9977037310600281,0.9977887868881226,0.31455954860733903,0.026279980316758156,0.8659636378288269,0.992685854434967,0.9908148050308228,0.930175244808197,0.4653386353798535,0.020321552502586392,128,2,128,2,max
