,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,case:Activity_acc,case:OrganizationalEntity_acc,case:Project_acc,case:RequestedAmount_mae,case:RfpNumber_acc,case:Task_acc,org:resource_acc,org:role_acc,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
13,13,13_0,COMPLETED,BoTorch,8.158439170576752,0.8925837874412537,0.6191787719726562,1.0,1.0,1.0,0.052233038105718464,0.0026365029625594616,0.9700629711151123,0.9942167401313782,0.9926007986068726,0.20481550725905792,0.025648813789507275,128,2,128,2,max
1,1,1_0,COMPLETED,Sobol,8.269190196406504,0.8195271492004395,0.5475084185600281,1.0,1.0,0.9956625699996948,0.2560630341910798,0.0386120080947876,0.9174179434776306,0.9945569038391113,0.991835355758667,0.14531515708760076,0.020423111474986877,128,2,128,2,max
9,9,9_0,COMPLETED,BoTorch,8.8842532294973,0.9065317511558533,0.6737915277481079,1.0,1.0,1.0,0.0812231962285612,0.00025514542357996106,0.9937914609909058,0.9961728453636169,0.9929410219192505,0.2591859792237696,0.037204241474542675,128,2,128,2,max
19,19,19_0,COMPLETED,BoTorch,8.992351566222997,0.8236945271492004,0.528022825717926,0.9996598362922668,0.9999149441719055,0.9998299479484558,0.07941969508386176,0.0005102908471599221,0.9382548332214355,0.991665244102478,0.9737200140953064,0.12898295931518078,0.024115794168494353,128,1,128,2,max
15,15,15_0,COMPLETED,BoTorch,9.469369881528939,0.7341384887695312,0.4783657193183899,0.9996598362922668,1.0,0.9997448921203613,0.08678523936997289,0.033594150096178055,0.8620513677597046,0.9948120713233948,0.9720190763473511,0.15559923146729884,0.023719859839472796,128,2,128,2,max
11,11,11_0,COMPLETED,BoTorch,9.557756346090647,0.8577989339828491,0.5337885022163391,1.0,0.9997448921203613,0.9986392259597778,0.27667447535888007,0.03384929522871971,0.8782106041908264,0.9951522350311279,0.9745705127716064,0.28312612486922223,0.02781641993206753,256,2,128,2,max
7,7,7_0,COMPLETED,BoTorch,9.583894476684147,0.9669161438941956,0.7415571212768555,1.0,1.0,0.9988093376159668,0.18095744142065878,0.0014458241639658809,0.8930090069770813,0.9965980648994446,0.9937914609909058,0.12806146462326465,0.01255922977689178,128,2,128,2,max
10,10,10_0,COMPLETED,BoTorch,9.596615699873881,0.8826330900192261,0.6394376158714294,1.0,1.0,0.9992345571517944,0.26096957225514494,0.0013607756700366735,0.8977717757225037,0.9949821829795837,0.9710835218429565,0.38608062720817066,0.07390792857825801,512,1,128,2,max
6,6,6_0,COMPLETED,BoTorch,9.765704579052889,0.9260928630828857,0.6234307289123535,0.9996598362922668,1.0,0.9986392259597778,0.15330628378559713,0.0,0.9724442958831787,0.992685854434967,0.9899643063545227,0.27989625153334247,0.02318381372049776,128,1,128,2,max
17,17,17_0,COMPLETED,BoTorch,9.78885694698639,0.9205647110939026,0.6909745335578918,0.9996598362922668,1.0,0.9992345571517944,0.1812006180053172,0.0,0.8878210783004761,0.9920905232429504,0.9900493621826172,0.20646887904276018,0.03953134206810678,512,2,128,2,max
