,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,MAE_timestamp,MacroF1Activity,activity_accuracy,resource_accuracy,resource_roles_accuracy,lr,heads,hid,layers,batch_size,aggregation
18,18,18_0,COMPLETED,BoTorch,3.0427384028747064,0.08796228113750072,0.6723242998123169,0.6832751631736755,0.5666040182113647,0.7918388843536377,0.001903641203982847,1,128,2,256,max
9,9,9_0,COMPLETED,BoTorch,3.053752647789374,0.09845245139647836,0.6270667314529419,0.6663087010383606,0.5665503144264221,0.7918388843536377,0.0032022065753813927,4,128,2,256,max
14,14,14_0,COMPLETED,BoTorch,3.069814004616378,0.09812263685138259,0.6153231859207153,0.6585771441459656,0.5670872330665588,0.7918388843536377,0.0031741641787901877,4,128,2,256,max
11,11,11_0,COMPLETED,BoTorch,3.071566080036637,0.11740186693121309,0.659415602684021,0.6808053255081177,0.5645100474357605,0.7918388843536377,0.0016659551789845707,2,128,2,256,max
17,17,17_0,COMPLETED,BoTorch,3.071688871345904,0.11411898274433939,0.6711801886558533,0.6824697852134705,0.5678389072418213,0.7918388843536377,0.0018082876505493362,1,128,2,256,max
16,16,16_0,COMPLETED,BoTorch,3.077331079399749,0.09580697384599136,0.6468508839607239,0.6766711473464966,0.5640268325805664,0.7918388843536377,0.0015021860408065211,1,128,2,256,max
10,10,10_0,COMPLETED,BoTorch,3.0788610995019954,0.10857810743459284,0.6712039709091187,0.6807516813278198,0.565744936466217,0.791946291923523,0.002119933825804556,3,128,2,256,max
7,7,7_0,COMPLETED,BoTorch,3.0795534547061134,0.10853229095674541,0.6623088717460632,0.6804832220077515,0.5664429664611816,0.7918388843536377,0.0013131156183900769,1,128,2,256,max
12,12,12_0,COMPLETED,BoTorch,3.09045969255983,0.13525400647561844,0.6508716940879822,0.6775301694869995,0.5685905814170837,0.7918388843536377,0.001715309631383605,3,128,2,256,max
13,13,13_0,COMPLETED,BoTorch,3.0953912394095773,0.10228477928736439,0.641554594039917,0.6733422875404358,0.5654764771461487,0.7916778326034546,0.0013529399646381457,2,128,2,256,max
19,19,19_0,COMPLETED,BoTorch,3.1041319519281387,0.09022216029363135,0.6655505299568176,0.6731811761856079,0.5612348914146423,0.7918388843536377,0.0022022009899813166,1,128,2,256,max
4,4,4_0,COMPLETED,Sobol,3.1063483928980893,0.10791965992483374,0.6348843574523926,0.6642147302627563,0.563275158405304,0.7916778326034546,0.0015884965448165662,4,128,2,256,max
6,6,6_0,COMPLETED,BoTorch,3.1176520577338462,0.09964467457508387,0.6592105627059937,0.6687248349189758,0.5622013211250305,0.7918388843536377,0.0023731257464832053,2,128,2,256,max
15,15,15_0,COMPLETED,BoTorch,3.131482443785014,0.14978330796712067,0.6510443687438965,0.6755436062812805,0.5614496469497681,0.7918388843536377,0.003106117783371954,4,128,2,256,max
3,3,3_0,COMPLETED,Sobol,3.16577968070258,0.09428011439740658,0.6686464548110962,0.6822550296783447,0.5590872168540955,0.7908724546432495,0.0006362726621081523,1,128,2,256,max
8,8,8_0,COMPLETED,BoTorch,3.1778947828618223,0.09139201363982404,0.6696163415908813,0.6799463033676147,0.5546308755874634,0.7916778326034546,0.00109740343740142,4,128,2,256,max
2,2,2_0,COMPLETED,Sobol,3.2361327960627944,0.2200095692062623,0.6007246375083923,0.6149798631668091,0.5688053369522095,0.7864697575569153,0.010810673273737675,4,128,2,256,max
0,0,0_0,COMPLETED,Sobol,3.7051245809264786,0.08591915567545858,0.6130455732345581,0.6529395580291748,0.43055033683776855,0.7906576991081238,0.0001865322718407359,3,128,2,256,max
1,1,1_0,COMPLETED,Sobol,3.8576369540740365,0.4796008620768377,0.6091606616973877,0.6510604023933411,0.47017449140548706,0.7914630770683289,0.09481987713714654,2,128,2,256,max
5,5,5_0,COMPLETED,BoTorch,4.040044668449522,0.1465553472405427,0.5465294718742371,0.6317852139472961,0.3421745002269745,0.7906576991081238,0.00010454879654262879,4,128,2,256,max
