trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,Resource_to_role_acc,org:resource:role_acc,org:resource_acc,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
12,12_0,COMPLETED,BoTorch,3.9710592854067555,0.8254779577255249,0.6946538686752319,0.8335338830947876,0.8660582900047302,0.2246958166360855,0.11848708820075561,0.006286346148851482,512,1,128,2,max
13,13_0,COMPLETED,BoTorch,4.012500922904056,0.8316285610198975,0.6810837984085083,0.8202299475669861,0.8668270707130432,0.21323037147521973,0.12969969085648528,0.007225337357117298,512,1,128,2,max
15,15_0,COMPLETED,BoTorch,4.028461312668191,0.8285198211669922,0.6771588325500488,0.816552996635437,0.8668270707130432,0.22168739140033722,0.13771066731876797,0.006564296204398558,512,1,128,2,max
19,19_0,COMPLETED,BoTorch,4.033164370964226,0.8248763084411621,0.6686264872550964,0.8179234862327576,0.8572001457214355,0.21313008666038513,0.12490360629864228,0.001602453472649407,512,1,128,2,max
10,10_0,COMPLETED,BoTorch,4.066212842766291,0.8276507258415222,0.6600732207298279,0.817522406578064,0.856732189655304,0.2197820544242859,0.12138928635380207,0.005679610879597522,1024,1,128,2,max
5,5_0,COMPLETED,Sobol,4.128119308772122,0.822937548160553,0.6783134937286377,0.8225029706954956,0.8650888800621033,0.2083834707736969,0.12203344077062912,0.0039125900358181875,512,1,128,2,max
2,2_0,COMPLETED,Sobol,4.146268701260416,0.8194277286529541,0.6555975675582886,0.8136782646179199,0.8446984887123108,0.2142666131258011,0.14092294247741374,0.007958031792637701,4096,1,128,2,max
17,17_0,COMPLETED,BoTorch,4.204834802251341,0.8186588883399963,0.6557832956314087,0.7924855947494507,0.8464032411575317,0.21008823812007904,0.12350069995746653,0.0008765475991777585,512,1,128,2,max
3,3_0,COMPLETED,Sobol,4.234719487655367,0.8185586333274841,0.6785178184509277,0.8147144913673401,0.8530551791191101,0.19019922614097595,0.15588098547906956,0.0020553520010210082,1024,2,128,2,max
7,7_0,COMPLETED,BoTorch,4.242510498939161,0.8095333576202393,0.6261701583862305,0.8107367157936096,0.8426928520202637,0.20901858806610107,0.14844219249665228,0.003690410947818655,4096,1,128,2,max
6,6_0,COMPLETED,BoTorch,4.257244348876242,0.8151825070381165,0.6296718120574951,0.8216673135757446,0.8482083082199097,0.20430538058280945,0.14433489303685662,0.005355907768380925,1024,2,128,2,max
1,1_0,COMPLETED,Sobol,4.268012546321266,0.8307260274887085,0.691558837890625,0.8342358469963074,0.8663925528526306,0.20784863829612732,0.353888764563534,0.020423111474986877,512,2,128,2,max
18,18_0,COMPLETED,BoTorch,4.3958653998999,0.8131099939346313,0.6497035026550293,0.8133440017700195,0.8454338908195496,0.199792742729187,0.2725368993531944,0.010301695573035693,512,1,128,2,max
9,9_0,COMPLETED,BoTorch,4.470287613379649,0.8155502080917358,0.6384708881378174,0.8024468421936035,0.8410883545875549,0.2051744908094406,0.3372905975860408,0.015013746709703032,4096,1,128,2,max
11,11_0,COMPLETED,BoTorch,4.56809647849355,0.8279849886894226,0.6609848737716675,0.8272495865821838,0.8661251068115234,0.20955340564250946,0.637705903659519,0.040411265932092176,512,2,128,2,max
4,4_0,COMPLETED,Sobol,4.722342198125572,0.7988701462745667,0.6437711715698242,0.8451330065727234,0.8414894938468933,0.16345767676830292,0.1523848604888488,0.0010138939569658027,4096,2,128,2,max
8,8_0,COMPLETED,BoTorch,4.7798400492303905,0.8050875663757324,0.6227737665176392,0.8286869525909424,0.8487765789031982,0.19538038969039917,0.5694801908018242,0.1,4096,1,128,2,max
16,16_0,COMPLETED,BoTorch,5.013815160490509,0.8191268444061279,0.6284992694854736,0.8024134039878845,0.8642532229423523,0.20367027819156647,0.8463356602204661,0.1,512,2,128,2,max
0,0_0,COMPLETED,Sobol,5.119104889086169,0.7866358757019043,0.6502408981323242,0.8451330065727234,0.8413223624229431,0.16345767676830292,0.15178309266383833,0.0001865322718407359,1024,1,128,2,max
14,14_0,COMPLETED,BoTorch,5.2251906129412165,0.7988367080688477,0.6486735343933105,0.8451330065727234,0.8445981740951538,0.16345767676830292,0.18476442094796744,0.0001,512,2,128,2,max
