,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Action_acc,Activity_acc,MacroF1Act,case:Accepted_acc,case:CreditScore_mae,case:FirstWithdrawalAmount_mae,case:MonthlyCost_mae,case:NumberOfTerms_mae,case:OfferedAmount_mae,case:Selected_acc,org:resource:role_acc,org:resource_acc,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
18,18,18_0,COMPLETED,BoTorch,3.0214181134807614,0.9999999403953552,0.8723452091217041,0.7536787986755371,0.9999999403953552,0.0358951709509095,0.040981251136596855,0.03552935285315349,0.013211801855561462,0.02805399487753355,0.9999999403953552,0.9259104132652283,0.5006440877914429,0.018920082827088295,0.005059480954002739,256,1,128,2,max
17,17,17_0,COMPLETED,BoTorch,3.18922934759193,0.9999999403953552,0.6825777888298035,0.6557358503341675,0.9999999403953552,0.021030696332952493,0.03462876550405222,0.01615671095394743,0.023892845829869964,0.020618635273324887,0.9999999403953552,0.9231773018836975,0.5017408132553101,0.02948719680823701,0.004552086573166931,256,1,128,2,max
3,3,3_0,COMPLETED,Sobol,3.097343091408615,0.9999999403953552,0.8275189399719238,0.739029586315155,0.9999999403953552,0.013569374581205686,0.03130812823921774,0.03300874516832537,0.02066453136420728,0.02348277303815419,0.9999999403953552,0.926119327545166,0.4986247420310974,0.029680652012903333,0.0020553520010210082,256,2,128,2,max
9,9,9_0,COMPLETED,BoTorch,3.1084729265941653,0.9999999403953552,0.9162836670875549,0.7715172171592712,0.9999999403953552,0.036862345789880686,0.020157948559469528,0.0736694206838353,0.02546153017184915,0.018248609107460637,0.9999999403953552,0.9259626269340515,0.5052398443222046,0.01716576126260986,0.002888403643572133,256,1,128,2,max
6,6,6_0,COMPLETED,BoTorch,3.1111496055388157,0.9999999403953552,0.8059327006340027,0.7292110919952393,0.9999999403953552,0.01886121794386437,0.020971487411080066,0.013464007582639931,0.016586554311381816,0.04051854149469554,0.9999999403953552,0.9202527403831482,0.4963790774345398,0.01945020716413358,0.0042449006791853185,256,2,128,2,max
19,19,19_0,COMPLETED,BoTorch,3.1200080464716318,0.9999999403953552,0.9009121656417847,0.7607986330986023,0.9999999403953552,0.031455170948116444,0.0137044190447819,0.013744005522709381,0.03591556058478913,0.03461337790623274,0.9999999403953552,0.9252837300300598,0.49684908986091614,0.016808657635227344,0.0023244914002022395,256,1,128,2,max
14,14,14_0,COMPLETED,BoTorch,3.1348118708332016,0.9999999403953552,0.8678538799285889,0.7534865140914917,0.9999999403953552,0.03258269691304667,0.03111735390362336,0.03416454142793383,0.009900703078305933,0.026595913205619378,0.9999999403953552,0.9275990128517151,0.502524197101593,0.017659668204994802,0.0074384694372875895,256,1,128,2,max
1,1,1_0,COMPLETED,Sobol,3.2439169868292344,0.9999999403953552,0.650059163570404,0.651952862739563,0.9999999403953552,0.01608146809638874,0.03167114160822203,0.03104437520117696,0.017070645030861708,0.03055978207568947,0.9999999403953552,0.925858199596405,0.4877619743347168,0.040249543762319866,0.020423111474986877,128,2,128,2,max
5,5,5_0,COMPLETED,Sobol,3.3037182909585066,0.9999999403953552,0.8371805548667908,0.7393317222595215,0.9999999403953552,0.011582099988160526,0.014420938951882196,0.015415979893608454,0.018535124052954807,0.04373071207467857,0.9999999403953552,0.9247788786888123,0.481895387172699,0.017765247491177975,0.0039125900358181875,128,1,128,2,max
16,16,16_0,COMPLETED,BoTorch,3.3497786933352396,0.9999999403953552,0.8306698203086853,0.7354652285575867,0.9999999403953552,0.0220750516243196,0.0994696828862341,0.010681411755460009,0.0611382943468131,0.019710965688964705,0.9999999403953552,0.9281734824180603,0.479701966047287,0.014093305720617883,0.008139465188321357,128,1,128,2,max
